Date,Focal Name,Unified Behavior,Percentage,Sex,Social Group
2021-12,Africa,Abnormal,7.23,Female,Mutamba
2021-12,Africa,Affiliative,1.95,Female,Mutamba
2021-12,Africa,Alimentation,20.23,Female,Mutamba
2021-12,Africa,Grooming,11.78,Female,Mutamba
2021-12,Africa,Human Interaction,0.22,Female,Mutamba
2021-12,Africa,Inactivity,44.8,Female,Mutamba
2021-12,Africa,Locomotion,3.76,Female,Mutamba
2021-12,Africa,Manipulation,4.26,Female,Mutamba
2021-12,Africa,Self directed,5.27,Female,Mutamba
2021-12,Africa,Social Play,0.14,Female,Mutamba
2021-12,Africa,Socio Sexual,0.36,Female,Mutamba
2021-12,Bea,Affiliative,0.81,Female,Bilinga
2021-12,Bea,Alimentation,15.15,Female,Bilinga
2021-12,Bea,Grooming,3.75,Female,Bilinga
2021-12,Bea,Human Interaction,1.14,Female,Bilinga
2021-12,Bea,Inactivity,65.15,Female,Bilinga
2021-12,Bea,Locomotion,12.7,Female,Bilinga
2021-12,Bea,Manipulation,0.33,Female,Bilinga
2021-12,Bea,Self directed,0.49,Female,Bilinga
2021-12,Bea,Socio Sexual,0.49,Female,Bilinga
2021-12,Bongo,Affiliative,2.51,Male,Mutamba
2021-12,Bongo,Agonistic,1.36,Male,Mutamba
2021-12,Bongo,Alimentation,20.42,Male,Mutamba
2021-12,Bongo,Grooming,8.55,Male,Mutamba
2021-12,Bongo,Human Interaction,0.27,Male,Mutamba
2021-12,Bongo,Inactivity,44.03,Male,Mutamba
2021-12,Bongo,Locomotion,17.77,Male,Mutamba
2021-12,Bongo,Manipulation,0.07,Male,Mutamba
2021-12,Bongo,Self directed,4.21,Male,Mutamba
2021-12,Bongo,Social Play,0.54,Male,Mutamba
2021-12,Bongo,Socio Sexual,0.27,Male,Mutamba
2021-12,Cheeta,Abnormal,0.55,Female,Bilinga
2021-12,Cheeta,Affiliative,0.41,Female,Bilinga
2021-12,Cheeta,Agonistic,0.14,Female,Bilinga
2021-12,Cheeta,Alimentation,31.49,Female,Bilinga
2021-12,Cheeta,Grooming,3.04,Female,Bilinga
2021-12,Cheeta,Human Interaction,0.28,Female,Bilinga
2021-12,Cheeta,Inactivity,56.63,Female,Bilinga
2021-12,Cheeta,Locomotion,4.42,Female,Bilinga
2021-12,Cheeta,Manipulation,0.55,Female,Bilinga
2021-12,Cheeta,Self directed,2.07,Female,Bilinga
2021-12,Cheeta,Social Play,0.41,Female,Bilinga
2021-12,Coco,Abnormal,2.52,Female,Bilinga
2021-12,Coco,Affiliative,1.57,Female,Bilinga
2021-12,Coco,Agonistic,0.16,Female,Bilinga
2021-12,Coco,Alimentation,24.53,Female,Bilinga
2021-12,Coco,Grooming,3.77,Female,Bilinga
2021-12,Coco,Human Interaction,0.94,Female,Bilinga
2021-12,Coco,Inactivity,44.97,Female,Bilinga
